route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,21a1c557-3482-419d-915c-8569be506306,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,b51409ff-185c-428e-a47d-050b2674178e
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,b431f44f-4992-46e8-ae34-9e940d3bd4dc,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,d6228218-9569-42d2-aba6-cd174d3334f6
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,2f422a3c-0650-4809-b18d-04f9c912b5ee,c7889776-53a3-498b-8c48-7a78bf4bedf5,Durham,1,e395deef-6be9-4aab-99d2-7babeeb03a37
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,16c6c292-74ef-46d8-a9ad-388dbf61263d,c7889776-53a3-498b-8c48-7a78bf4bedf5,Durham,1,b4609787-f65b-4817-9137-1a745d07effb
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,93494922-1ddd-441c-a269-3f8a075b7fda,c7889776-53a3-498b-8c48-7a78bf4bedf5,Durham,1,c87cfb0c-c811-4cee-9635-d28a4ef08b4c
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,49967aad-e3d9-4e60-a96d-f5a1a0128ba9,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,c838936a-fcde-41f6-9372-1e4bafaa70cf
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,c511a26d-1cc4-496a-ae82-6558d121a871,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,b51409ff-185c-428e-a47d-050b2674178e
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,afafe83f-fe42-4cb5-8fc1-2fb7f879f694,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,d6228218-9569-42d2-aba6-cd174d3334f6
3629,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,e3c4e1ab-7827-4e15-89af-62bbe9314eae,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,c838936a-fcde-41f6-9372-1e4bafaa70cf
3642,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,6e11cd4b-07c8-4d59-be73-73a657ec4e37,f81eee6d-9e9f-4a85-8bb6-69212f04420a,Regional Transit Center,0,b00de676-3da5-4cc6-b31b-231243ded1bf
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,21c10f48-71a9-492a-a909-d5dba405815f,57c9762d-fc12-4def-97e5-5c281d3a62eb,GoRaleigh Station,0,7008e0dc-71d9-4b7d-8bf3-56cc6900c113
