shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.94067,-79.05723,591,24378.5
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.940329,-79.057159,592,24416.93
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.93931,-79.05696,593,24531.57
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.937279,-79.056539,594,24760.41
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.941069,-78.839269,308,11481.74
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.941049,-78.839279,309,11484.14
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.940819,-78.839449,310,11513.92
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.940509,-78.839669,311,11553.65
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.940429,-78.839729,312,11564.05
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.940009,-78.840029,313,11617.96
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.9393,-78.840529,314,11708.68
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.93894,-78.84078,315,11754.62
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.93868,-78.840969,316,11788.14
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.970859,-79.06253,493,20901.78
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.97065,-79.062389,494,20928.24
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.970429,-79.062249,495,20955.84
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.97036,-79.062199,496,20964.73
3b9e3c41-0625-42c5-a778-8350e5a21382,35.950889,-78.992579,357,11694.51
39d20ab2-ba1d-4d2e-aeed-5c65e4f63942,35.720849,-78.843869,708,26194.16
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.96604,-79.059279,514,21515.69
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.006389,-79.066069,362,12326.65
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.01385,-79.071749,382,13301.2
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96812,-78.963059,435,15343.47
3b9e3c41-0625-42c5-a778-8350e5a21382,35.965999,-78.968369,426,14810.15
3b9e3c41-0625-42c5-a778-8350e5a21382,35.9663,-78.967689,427,14879.86
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96659,-78.96701,428,14948.91
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96712,-78.96579,429,15073.44
3b9e3c41-0625-42c5-a778-8350e5a21382,35.9674,-78.96512,430,15141.26
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96936,-78.96196,495,17364.1
3b9e3c41-0625-42c5-a778-8350e5a21382,35.970229,-78.96173,496,17462.85
3b9e3c41-0625-42c5-a778-8350e5a21382,35.971149,-78.96138,497,17569.82
3b9e3c41-0625-42c5-a778-8350e5a21382,35.971219,-78.961349,498,17578.08
3b9e3c41-0625-42c5-a778-8350e5a21382,35.971859,-78.961119,499,17652.14
3b9e3c41-0625-42c5-a778-8350e5a21382,35.97263,-78.96092,500,17739.66
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.006499,-79.066119,363,12339.67
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.006609,-79.06618,364,12353.07
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.03913,-79.09106,429,17040.79
3b9e3c41-0625-42c5-a778-8350e5a21382,35.97315,-78.960689,501,17801.06
39d20ab2-ba1d-4d2e-aeed-5c65e4f63942,35.696799,-78.83389,791,29060.05
3b9e3c41-0625-42c5-a778-8350e5a21382,35.9738,-78.960419,502,17877.26
3b9e3c41-0625-42c5-a778-8350e5a21382,35.974009,-78.960329,503,17901.85
3b9e3c41-0625-42c5-a778-8350e5a21382,35.97424,-78.960229,504,17929.05
3b9e3c41-0625-42c5-a778-8350e5a21382,35.97514,-78.95985,505,18034.71
3b9e3c41-0625-42c5-a778-8350e5a21382,35.97522,-78.95981,506,18044.3
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.92824,-79.03478,447,20934.02
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.942669,-78.84127,289,11059.86
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.934859,-79.056069,601,25032.63
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.938269,-78.85108,257,10015.53
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.94022,-79.022639,396,19170.66
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.940149,-79.022739,397,19182.63
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.940089,-79.022819,398,19192.44
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.93985,-79.02306,399,19226.72
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.868099,-78.82858,34,1282.94
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.794919,-78.69128,253,6063.2
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.795519,-78.694949,544,22925.3
9e4afcee-a6a5-42cd-96fb-b25496752ca2,35.74985,-78.721189,362,11319.89
b2147f92-36e8-417b-b2b8-e87a47135d4e,35.79549,-78.694139,258,6328.67
26db2e0e-bbe3-428d-8c0a-da5177b5a33d,35.793279,-78.68409,577,23942.02
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.86274,-78.823169,51,2058.27
1880e5c0-b3a9-41d7-a43d-3275bee850f0,35.790419,-78.771579,279,14185.35
485daab2-892f-4bea-b175-06f42185b283,35.71452,-78.84028,118,5602.51
57c9762d-fc12-4def-97e5-5c281d3a62eb,35.85362,-78.8036,94,4531.38
